t stim (m)	thr (A for electric/Pa for US)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	240560.67809130816
6.158482110660267e-05	108153.05994284211
0.00011288378916846884	86319.1163285978
0.00020691380811147902	77338.63619457935
0.000379269019073225	75281.11379190667
0.0006951927961775605	74724.37243588935
0.0012742749857031334	74603.34170632037
0.002335721469090121	74554.92941449277
0.004281332398719391	74554.92941449277
0.007847599703514606	74554.92941449277
0.01438449888287663	74554.92941449277
0.026366508987303583	74554.92941449277
0.04832930238571752	74554.92941449277
0.08858667904100823	74554.92941449277
0.1623776739188721	74554.92941449277
0.2976351441631319	74554.92941449277
0.5455594781168515	74554.92941449277
1.0	74554.92941449277
